X.OTU.ID	taxonomy
ed70c8a44af9050caf9dcaddd84bdba8	d__Bacteria;p__Acidobacteriota;c__Aminicenantia;o__Aminicenantales;f__Aminicenantaceae;g__Aminicenans;s__uncultured_organism
13ad3c36c962a93e3e9461d0b5aa151a	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinobacteraceae;g__Marinobacter;s__Unclassified
8de92ef9b44bced7b8860833571615e9	d__Bacteria;p__Acetothermia;c__Acetothermiia;o__KB1_group;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_organism
e076cdb268d44885060a6b2f7184b04a	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Unclassified
7bd033623a1ffd300aaa51a0d751ed63	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiales_Incertae_Sedis;g__Dichotomicrobium;s__uncultured_organism
bfa3d90d4cd9275405c0debb4154c886	d__Bacteria;p__Rhodothermota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__Incertae_Sedis;s__uncultured_organism
8dd01d68c14307c28debe1a6d46599fa	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Incertae_Sedis;s__uncultured_organism
ed3441edce9fe5d6cd5e8991e0b0410e	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Pantoea;s__Unclassified
2501c15f18f8c55d92c6c867b3433c31	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Idiomarinaceae;g__Pseudidiomarina;s__Unclassified
50823ba7840f136366ca8600f56745fc	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__marine_metagenome
9d7463b938f1dc34682bb44af2e62af7	d__Bacteria;p__Latescibacterota;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__Unclassified
0b1f9e9b4eb37bf112f87fea038dc4e3	d__Archaea;p__Unclassified;c__Unclassified;o__Unclassified;f__Unclassified;g__Unclassified;s__Unclassified
1aff677f90395a22bd5153cb72d23700	d__Archaea;p__Methanobacteriota;c__Thermococci;o__Methanofastidiosales;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_archaeon
c829784313235a7d5904c60729c93631	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__AKAU3564_sediment_group;g__Incertae_Sedis;s__uncultured_bacterium
a08e73a4186d5f1cd98a9b67758f4e53	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__AKAU3564_sediment_group;g__Incertae_Sedis;s__Unclassified
d7075e69244f998b6b1ff0b61910987c	d__Archaea;p__Thermoproteota;c__Unclassified;o__Unclassified;f__Unclassified;g__Unclassified;s__Unclassified
99a65caa726a61fae1000dafb5c18da1	d__Bacteria;p__Rhodothermota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__Incertae_Sedis;s__uncultured_Bacteroidetes
f122a60f973e4320cb41724fe8a2e413	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_organism
b00780ae248f4bf57180898c64e776e1	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Kiloniellales;f__Fodinicurvataceae;g__Rhodovibrio;s__Unclassified
7476620157d46b41b5dae58512952f28	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__A4b;g__Incertae_Sedis;s__uncultured_organism
b20ad692d1e1af4b81ffb492cbe401ba	d__Bacteria;p__Planctomycetota;c__Pla4_lineage;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_bacterium
456dd57a77a03f31e34f5348e4909cc0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiales_Incertae_Sedis;g__Dichotomicrobium;s__Unclassified
1f2bf5b77d279f28d77ef924dd7a806c	d__Bacteria;p__Rhodothermota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__Incertae_Sedis;s__uncultured_organism
f1e6d0f8f02186f7d8d9986a8620fb01	d__Bacteria;p__Balneolota;c__Balneolia;o__Balneolales;f__Balneolaceae;g__Gracilimonas;s__uncultured_bacterium
38fa7a029a7ca0136ec5d29574333129	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__Unclassified
0b3d9ebbe5cd66004cc2a6401795216f	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Kiloniellales;f__Fodinicurvataceae;g__Rhodovibrio;s__uncultured_bacterium
3914ff18aa48cc9c76cfda3f66dfe2ce	d__Bacteria;p__Latescibacterota;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_bacterium
c86379ea6250aa4dc3ffbec9f65114d0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Unclassified
a04f53f3c22cc2f90fdb43e397a0f4b7	d__Archaea;p__Thermoproteota;c__Unclassified;o__Unclassified;f__Unclassified;g__Unclassified;s__Unclassified
ea8dc9511d81bf5d9e2a8af76b91fb59	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Unclassified
2ea8483d588f4f9badd2e95ad42944db	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Desertifilaceae;g__Incertae_Sedis;s__uncultured_organism
637a300968677dab91a861a11ce33f24	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Unclassified
cd6cd105a22916584a4dca5b5000912f	d__Bacteria;p__Acetothermia;c__Acetothermiia;o__KB1_group;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_bacterium
82b519dd5f7368e4cb1f5fa53320d462	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Curtobacterium;s__Unclassified
a97dc87a3d94468e7e0940d3cbbb93bf	d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__Hadarchaeaceae;g__Hadarchaeum;s__candidate_divison
4bd34f8f457ef44341effdb427739e61	d__Bacteria;p__Acetothermia;c__Acetothermiia;o__KB1_group;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_bacterium
9c9ed4d0a02a59b48775874807b6e1f3	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Pantoea;s__Unclassified
64ef5a85031da05ef84272225177dd98	d__Bacteria;p__GN01;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_bacterium
8b0788e89f03d6b2695f0271c9167064	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Psychroflexus;s__Unclassified
165bf996f34510e370467e23c8af40b1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Incertae_Sedis;s__uncultured_organism
525adb9013205010bfc60853de25d133	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__AKAU3564_sediment_group;g__Incertae_Sedis;s__uncultured_organism
c8ad6fa22c197d6d17b4b2ff2b1a5486	d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Incertae_Sedis;f__Incertae_Sedis;g__Marine_Benthic_Group_D_and_DHVEG-1;s__Unclassified
193af9b5abd766ea6874f529164e96b7	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfatiglandales;f__Desulfatiglandaceae;g__Desulfatiglans;s__uncultured_organism
65106f53d7eb60cb4593cbec20f6ce5b	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Rubidibacteraceae;g__Dactylococcopsis_PCC-8305;s__Euhalothece_sp.
eb34e630b8ac5bb9f8e4eae1d5ad542b	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__Desulfovermiculus;s__Desulfohalobium_utahense
6698567285208efb577706d189c50caf	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Marinicauda;s__Marinicauda_sp.
72fb054d97e35f250a9afaeed7bdd117	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oceanospirillaceae;g__Oceanospirillum;s__Unclassified
802335d95e98c98bcefbb8f768dea548	d__Bacteria;p__Rhodothermota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__Incertae_Sedis;s__uncultured_organism
ff8531a69aa97ad76d023c8ade76cbc3	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Incertae_Sedis;s__Unclassified
a8ca9a9959737c0581db5a122404ac8b	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__Desulfovermiculus;s__Unclassified
fdcd300a23333f099639e7c4f0d1d313	d__Bacteria;p__TA06;c__Incertae_Sedis;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_sediment
c99c2ace375afca3c7f79ad8c4f85821	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__DG-20;f__Incertae_Sedis;g__Incertae_Sedis;s__Unclassified
cca479622215a45005a72993bb3d724a	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacterales;f__Haloferacaceae;g__Halorubrum;s__uncultured_haloarchaeon
d26e11146581ca159705e2f297fa8200	d__Archaea;p__Halobacteriota;c__Halobacteria;o__Halobacterales;f__Unclassified;g__Unclassified;s__Unclassified
f1f6e486740cd252f36b5beeee6ad4b2	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Thalassospiraceae;g__Thalassospira;s__Unclassified
1f4f65b9e3b835137d54c042a3d1c4fc	d__Bacteria;p__Acetothermia;c__Acetothermiia;o__KB1_group;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_bacterium
f1230b419bade31d45b92869418d834b	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Geitlerinema_PCC-9228;s__Unclassified
c2077afee6a2c3f85bbc915931b31055	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__Aggregatilineaceae;g__Aggregatilinea;s__Unclassified
e9498940e6fb59f5e21012cc3ee7e94b	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__Desulfovermiculus;s__Unclassified
689b2546b404c66978dd50c016de5ca9	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__MSBL9;f__SG8-4;g__Incertae_Sedis;s__uncultured_organism
412bd2a5ed996e6ad1e9bdd14000fce0	d__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Unclassified
b99cac92ba9cffa1f544d8fb840a3fc7	d__Bacteria;p__Acetothermia;c__Acetothermiia;o__KB1_group;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_KB1
4d5aea1b49197649fd90a5913c0658df	d__Archaea;p__Thermoproteota;c__Bathyarchaeia;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_archaeon
2d9b3a3884ff4ac98ed43e5af68c67f0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Incertae_Sedis;s__uncultured_organism
7a623ea6470a7f7803823862873680b6	d__Bacteria;p__Planctomycetota;c__Unclassified;o__Unclassified;f__Unclassified;g__Unclassified;s__Unclassified
4c443dcd4178bf95683eaf39463c0564	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Unclassified;f__Unclassified;g__Unclassified;s__Unclassified
77498493d50a1b51dfbaadbac2179ab9	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__A4b;g__Incertae_Sedis;s__uncultured_organism
5c2cb9a9de1b831aa0d28438d356cf0b	d__Bacteria;p__Gemmatimonadota;c__PAUC43f_marine_benthic_group;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_bacterium
52236a895e1b836def19f800a2325e1b	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Salinivibrio;s__Unclassified
669397e502bca95520e47f82e9323a3b	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__DG-20;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_organism
066009e79b1636c9180f7f649fc325cd	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_organism
f3bfdcd8fd21927bd1b3a5567fec7c4a	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__SM1A02;s__uncultured_Planctomycetales
2a174fbac0d44289e12280b969ba457d	d__Bacteria;p__Fermentibacterota;c__Fermentibacteria;o__Fermentibacterales;f__Fermentibacteraceae;g__Incertae_Sedis;s__uncultured_bacterium
08fa9fc4f6cb677c0ea4fd24937c2021	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Kiloniellales;f__Fodinicurvataceae;g__Rhodovibrio;s__Unclassified
7c7386fbe7ff43e1e9f33d2912cf50b7	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Urania-1B-19_marine_sediment_group;s__Unclassified
94f0c169ed3e38bfc296717e08fc466c	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Chloroplast;f__Incertae_Sedis;g__Incertae_Sedis;s__Unclassified
52718d4f3cb1d7b0ef934726bc38e0e3	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Incertae_Sedis;f__Incertae_Sedis;g__Incertae_Sedis;s__uncultured_organism
9d0c9898eb82129fde13049abd116d2e	d__Bacteria;p__Rhodothermota;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__Incertae_Sedis;s__Unclassified
0afd43c144ea22fbb7a43eae36922ffb	d__Bacteria;p__Planctomycetota;c__Brocadiae;o__SM23-32;f__Incertae_Sedis;g__Incertae_Sedis;s__Planctomycetes_bacterium
